K,fold,baseline_SR,fuzzy_a5_SR,fuzzy_a5_delta,fuzzy_a10_SR,fuzzy_a10_delta,fuzzy_a20_SR,fuzzy_a20_delta,fuzzy_a50_SR,fuzzy_a50_delta,fuzzy_a100_SR,fuzzy_a100_delta,fuzzy_a50_dt0001_SR,fuzzy_a50_dt0001_delta
27,train,0.8804240019862943,0.3064847807116901,-0.5739392212746042,0.6894694982269439,-0.1909545037593504,0.8019339306857918,-0.07849007130050256,0.9111218610125152,0.03069785902622091,0.8908114678131589,0.010387465826864561,0.9111693139328164,0.03074531194652208
28,train,0.8859288989628848,0.3067532332272245,-0.5791756657356604,0.673218348961433,-0.2127105500014519,0.8139776977987976,-0.07195120116408726,0.918696155989798,0.03276725702691319,0.8930136505310563,0.007084751568171455,0.919509453771318,0.03358055480843314
29,train,0.8836496007157493,0.307078079090984,-0.5765715216247653,0.658568800018754,-0.22508080069699532,0.7813358864813944,-0.10231371423435487,0.9174434961564948,0.033793895440745514,0.8931883609925114,0.009538760276762148,0.9165022482890526,0.032852647573303306
30,train,0.894215350242883,0.3092889886010714,-0.5849263616418117,0.6601613264133689,-0.23405402382951412,0.8005718087614282,-0.09364354148145482,0.9201147539153192,0.02589940367243615,0.8937494166537058,-0.0004659335891772365,0.9197716961204286,0.025556345877545628
31,train,0.9068318358083404,0.3100694538379832,-0.5967623819703571,0.6763725209790165,-0.2304593148293239,0.8031762527733904,-0.10365558303494993,0.8428581073038834,-0.06397372850445693,0.880697392355351,-0.02613444345298932,0.842398124916422,-0.0644337108919184
32,train,0.9129449163587527,0.310079711754666,-0.6028652046040868,0.6765758254861999,-0.23636909087255287,0.8049014136299522,-0.10804350272880059,0.8533165161623962,-0.05962840019635651,0.8871046198642634,-0.02584029649448938,0.8540318345965924,-0.05891308176216037
33,train,0.9209743359127792,0.296920106591454,-0.6240542293213251,0.6769469194848752,-0.24402741642790404,0.816988305290062,-0.10398603062271727,0.8536527023156226,-0.0673216335971566,0.9020911827892548,-0.0188831531235244,0.8569707199986705,-0.06400361591410875
34,train,0.9235706380992572,0.2997369664333196,-0.6238336716659376,0.6771647498161643,-0.24640588828309296,0.7987739763822387,-0.12479666171701853,0.8567124411760245,-0.0668581969232327,0.9072740363660688,-0.016296601733188365,0.8586226687302762,-0.06494796936898106
35,train,0.9144924244050344,0.2987548772130847,-0.6157375471919497,0.6783087258010796,-0.23618369860395483,0.8178931495492828,-0.0965992748557516,0.8573170294092634,-0.05717539499577107,0.9084491392361932,-0.006043285168841228,0.8658838752167979,-0.04860854918823654
36,train,0.9205571623390654,0.3024422657108338,-0.6181148966282315,0.6797149434278307,-0.2408422189112347,0.8133358710871891,-0.1072212912518763,0.8579892204058361,-0.06256794193322923,0.910027707492188,-0.010529454846877395,0.8706930055552004,-0.04986415678386502
37,train,0.9208407883176444,0.3025488663487332,-0.6182919219689111,0.6572107640572308,-0.2636300242604136,0.8225121043688494,-0.09832868394879501,0.8586884809192414,-0.06215230739840294,0.9114952511226112,-0.009345537195033171,0.8726589280326987,-0.04818186028494564
38,train,0.9273588288557026,0.3028536539963072,-0.6245051748593955,0.6590680865980998,-0.26829074225760285,0.8229620557814481,-0.10439677307425455,0.8779293775393118,-0.04942945131639087,0.9122110097049912,-0.015147819150711395,0.877329611123881,-0.050029217731821674
39,train,0.9278609432709732,0.3037312026376613,-0.624129740633312,0.6758177454459217,-0.2520431978250516,0.8229900420178322,-0.10487090125314102,0.8789747056355334,-0.048886237635439866,0.9077921442808282,-0.02006879899014502,0.8797404676011764,-0.048120475669796825
40,train,0.9086767838445002,0.3037892705730222,-0.604887513271478,0.6603182663720485,-0.24835851747245175,0.7988384517838335,-0.10983833206066673,0.8901060619949341,-0.018570721849566096,0.9243642450216192,0.015687461177118944,0.8546655806335346,-0.05401120321096564
41,train,0.9098943072704913,0.3047850661922902,-0.6051092410782011,0.6763486316547673,-0.23354567561572392,0.7887448660346779,-0.1211494412358134,0.8559538302476111,-0.053940477022880184,0.929733534293749,0.0198392270232578,0.8561874291573325,-0.053706878113158774
42,train,0.9114689040875416,0.3057134641070314,-0.6057554399805102,0.6542343823887697,-0.2572345216987718,0.7891387195055879,-0.12233018458195366,0.8636646050112655,-0.047804299076276036,0.932716072462255,0.02124716837471341,0.8643034985338839,-0.04716540555365767
43,train,0.9158051846715198,0.3059161880585677,-0.6098889966129522,0.6544163208401969,-0.261388863831323,0.8178958886113884,-0.09790929606013143,0.8641388715779805,-0.05166631309353931,0.9131173754092984,-0.0026878092622214522,0.8644913772284003,-0.05131380744311953
44,train,0.9179634631396772,0.3059272495870236,-0.6120362135526536,0.6553687916818082,-0.2625946714578691,0.8372941058505735,-0.08066935728910374,0.8651377022851602,-0.05282576085451707,0.9152724931632434,-0.00269096997643381,0.864881756300195,-0.05308170683948221
