file,cv,i_l0,j_l2,py_rows,r_rows,rows_cmp,train_SR_max_abs_diff,valid_SR_max_abs_diff,test_SR_max_abs_diff,portsN_match_%,beta_max_abs_diff,status
results_cv_1_l0_2_l2_4.csv,cv_1,2,4,58,58,58,1.3631318296347672e-12,8.009981566914348e-13,7.870371021567735e-13,96.55172413793103,1.2360501511210487e-11,OK
results_cv_1_l0_2_l2_5.csv,cv_1,2,5,56,56,56,1.38311584407802e-12,4.959088695244418e-13,5.576650252692161e-13,96.42857142857143,9.708844839195763e-12,OK
results_cv_1_l0_2_l2_6.csv,cv_1,2,6,54,54,54,1.0886846979474285e-12,5.133116154354411e-13,2.985389713217046e-13,96.29629629629629,8.677725205075149e-12,OK
results_cv_1_l0_2_l2_7.csv,cv_1,2,7,56,56,56,3.488098698767317e-12,1.6089907184380081e-12,5.732081476139683e-13,100.0,1.64406821490104e-11,OK
results_cv_1_l0_2_l2_8.csv,cv_1,2,8,56,56,56,7.546629987587039e-12,3.265110404271354e-12,3.375077994860476e-13,100.0,3.584410546153549e-11,OK
results_cv_1_l0_2_l2_9.csv,cv_1,2,9,54,54,54,1.4584999874500681e-12,4.20274925971853e-13,3.1952218648712005e-13,98.14814814814815,1.1038059355428231e-11,OK
results_cv_1_l0_2_l2_10.csv,cv_1,2,10,56,56,56,3.9261927042844036e-12,1.5815126985785355e-12,7.283063041541027e-13,100.0,2.1063928379305707e-11,OK
results_cv_1_l0_2_l2_11.csv,cv_1,2,11,56,56,56,1.9626522629323517e-12,9.110212584317878e-13,1.9451107391432743e-13,100.0,1.0665801575271416e-11,OK
results_cv_1_l0_2_l2_12.csv,cv_1,2,12,56,56,56,5.019096249725408e-12,2.1417867479556207e-12,2.738920201750261e-13,100.0,2.8150926034697932e-11,OK
results_cv_1_l0_2_l2_13.csv,cv_1,2,13,56,56,56,1.3460343950555398e-12,5.307976280732873e-13,1.6864287744056128e-13,100.0,7.923384170993586e-12,OK
results_cv_1_l0_3_l2_1.csv,cv_1,3,1,48,48,48,1.361577517400292e-12,6.123990203832363e-13,7.356337761166287e-13,100.0,6.591505119502017e-12,OK
results_cv_1_l0_3_l2_2.csv,cv_1,3,2,50,50,50,2.7324809082074353e-12,6.128986207443177e-13,9.676703882632864e-13,100.0,1.2387700240590327e-11,OK
results_cv_1_l0_3_l2_3.csv,cv_1,3,3,50,50,50,1.2814194150223557e-12,2.972899704190013e-13,6.63136212608606e-13,100.0,8.829381670238945e-12,OK
results_cv_1_l0_3_l2_4.csv,cv_1,3,4,54,54,54,1.545652494883143e-12,7.129019596874286e-13,8.413270080609436e-13,100.0,1.0678208317571602e-11,OK
results_cv_1_l0_3_l2_5.csv,cv_1,3,5,56,56,56,6.441625011177621e-12,7.895073483865644e-13,3.1074032236233506e-12,96.42857142857143,4.9977355587316197e-11,OK
results_cv_1_l0_3_l2_6.csv,cv_1,3,6,58,58,58,1.8984813721090177e-12,9.066913886357497e-13,3.056443986793056e-13,98.27586206896551,1.4451995156150588e-11,OK
results_cv_1_l0_3_l2_7.csv,cv_1,3,7,60,60,60,4.654054919228656e-12,2.3545887462006476e-12,3.915756607852927e-13,98.33333333333333,2.2431584367765822e-11,OK
results_cv_1_l0_3_l2_8.csv,cv_1,3,8,60,60,60,2.7053914664065815e-12,1.503908109157237e-12,3.2385205628315816e-13,100.0,1.6660284263281255e-11,OK
results_cv_1_l0_3_l2_9.csv,cv_1,3,9,60,60,60,2.0805579481475434e-12,1.1439738045737613e-12,2.722266856380884e-13,96.66666666666667,1.1924905507498806e-11,OK
results_cv_1_l0_3_l2_10.csv,cv_1,3,10,58,58,58,2.2670754162845697e-12,1.2680967387268538e-12,3.1608049511078207e-13,100.0,1.3459733327891854e-11,OK
results_cv_1_l0_3_l2_11.csv,cv_1,3,11,58,58,58,2.58748578119139e-12,1.5678014442244148e-12,2.2670754162845697e-13,100.0,1.4790002555997717e-11,OK
results_cv_1_l0_3_l2_12.csv,cv_1,3,12,58,58,58,2.1542767569826538e-12,1.1945167077698216e-12,4.758415883543421e-13,100.0,1.3584799951615878e-11,OK
results_cv_1_l0_3_l2_13.csv,cv_1,3,13,58,58,58,2.2382096176443156e-12,1.1377010444846292e-12,2.2293278334473143e-13,100.0,1.3574585899789327e-11,OK
results_cv_1_l0_4_l2_1.csv,cv_1,4,1,48,48,48,3.719358154796737e-12,8.774092563612612e-13,2.6794122476303528e-12,100.0,1.1285195000709791e-11,OK
results_cv_1_l0_4_l2_2.csv,cv_1,4,2,50,50,50,6.375788785817349e-12,1.3364864770437634e-12,2.4557023081683838e-12,100.0,2.7773498778582706e-11,OK
results_cv_1_l0_4_l2_3.csv,cv_1,4,3,50,50,50,1.504130153762162e-12,3.6318170693050433e-13,7.490674747145931e-13,100.0,1.0501599589929356e-11,OK
results_cv_1_l0_4_l2_4.csv,cv_1,4,4,54,54,54,2.130406961953213e-12,8.520406602485764e-13,8.770761894538737e-13,100.0,1.5908385719853868e-11,OK
results_cv_1_l0_4_l2_5.csv,cv_1,4,5,58,58,58,2.1178503395447024e-11,8.261502593143177e-12,1.1916023723301805e-12,100.0,2.819409983256804e-10,OK
results_cv_1_l0_4_l2_6.csv,cv_1,4,6,56,56,56,3.306022122728791e-12,1.5298040612066188e-12,6.611378111642807e-13,98.21428571428571,1.9993062760903513e-11,OK
results_cv_1_l0_4_l2_7.csv,cv_1,4,7,54,54,54,2.298383705578999e-12,7.203959651036485e-13,2.41140440948584e-13,100.0,1.1049799963913642e-11,OK
results_cv_1_l0_4_l2_8.csv,cv_1,4,8,54,54,54,2.3598900611432327e-12,1.2130019211298304e-12,6.921130335513226e-13,98.14814814814815,1.600419796687902e-11,OK
results_cv_1_l0_4_l2_9.csv,cv_1,4,9,56,56,56,3.1079583351356632e-12,1.681182970614259e-12,6.87894186057747e-13,96.42857142857143,1.767597179735958e-11,OK
results_cv_1_l0_4_l2_10.csv,cv_1,4,10,56,56,56,4.248823515240474e-12,1.8182955141554658e-12,6.622480341889059e-13,100.0,3.0439484266509e-11,OK
results_cv_1_l0_4_l2_11.csv,cv_1,4,11,58,58,58,1.7961854226200558e-11,7.15699721709484e-12,4.739542092124793e-13,100.0,1.2240802815810525e-10,OK
results_cv_1_l0_4_l2_12.csv,cv_1,4,12,56,56,56,2.4589219549397967e-12,1.3732071035832405e-12,7.033262861000367e-13,100.0,1.6162515770190566e-11,OK
results_cv_1_l0_4_l2_13.csv,cv_1,4,13,56,56,56,2.5857094243519896e-12,1.5117906926320757e-12,6.303846333821639e-13,100.0,1.744039634932193e-11,OK
results_cv_1_l0_5_l2_1.csv,cv_1,5,1,48,48,48,1.91491267287347e-12,9.554024238411785e-13,9.50350909079134e-13,100.0,8.87780127190041e-12,OK
results_cv_1_l0_5_l2_2.csv,cv_1,5,2,52,52,52,8.803624496067641e-12,1.273092742337667e-12,1.0322853682964706e-12,100.0,3.7682801323768444e-11,OK
results_cv_1_l0_5_l2_3.csv,cv_1,5,3,52,52,52,2.4924506902834764e-12,1.017075312859106e-12,1.3854473124297328e-12,100.0,1.8938850487870695e-11,OK
results_cv_1_l0_5_l2_4.csv,cv_1,5,4,58,58,58,2.858158154595003e-12,8.473222123939195e-13,1.1265433030871463e-12,100.0,1.9511281479367426e-11,OK
results_cv_1_l0_5_l2_5.csv,cv_1,5,5,60,60,60,3.2667202276570606e-12,1.6726897644758765e-12,7.922551503725117e-13,96.66666666666667,1.8188700545707093e-11,OK
results_cv_1_l0_5_l2_6.csv,cv_1,5,6,58,58,58,7.267408896893812e-12,1.9756973834716973e-12,1.4467316233890415e-12,100.0,5.562683647042377e-11,OK
results_cv_1_l0_5_l2_7.csv,cv_1,5,7,58,58,58,2.5990321006474915e-12,1.4177825580219405e-12,6.998845947236987e-13,98.27586206896551,1.7767801119283888e-11,OK
results_cv_1_l0_5_l2_8.csv,cv_1,5,8,62,62,62,1.1650791442718855e-11,6.331657420588499e-12,4.436562228704588e-12,98.38709677419355,1.4146106508405865e-10,OK
results_cv_1_l0_5_l2_9.csv,cv_1,5,9,62,62,62,5.3577142722360804e-12,2.6326996138692493e-12,1.1967093982434562e-12,100.0,3.308459756157234e-11,OK
results_cv_1_l0_5_l2_10.csv,cv_1,5,10,62,62,62,2.581934666068264e-12,1.6915913114701198e-12,9.763301278553627e-13,100.0,2.1450202725148415e-11,OK
results_cv_1_l0_5_l2_11.csv,cv_1,5,11,62,62,62,2.4940050025179517e-12,1.0244860515484788e-12,7.670530877135207e-13,100.0,1.770028568159887e-11,OK
results_cv_1_l0_5_l2_12.csv,cv_1,5,12,62,62,62,3.212097254845503e-12,1.3865020243031267e-12,1.1319833959078096e-12,100.0,4.11065001482136e-11,OK
results_cv_1_l0_5_l2_13.csv,cv_1,5,13,62,62,62,2.8257396422759484e-12,1.2221057499317567e-12,1.0156320229270932e-12,98.38709677419355,3.7240099892699163e-11,OK
results_cv_1_l0_6_l2_1.csv,cv_1,6,1,50,50,50,2.4080737404119645e-12,1.0622613899613498e-12,1.0575984532579241e-12,100.0,1.389320006695699e-11,OK
results_cv_1_l0_6_l2_2.csv,cv_1,6,2,50,50,50,4.9615866970498246e-12,8.842371279627059e-13,2.078337502098293e-12,98.0,2.4562796241411888e-11,OK
results_cv_1_l0_6_l2_3.csv,cv_1,6,3,52,52,52,3.9791503425590236e-12,1.545874539488068e-12,2.357780637396445e-12,100.0,3.23691976000795e-11,OK
results_cv_1_l0_6_l2_4.csv,cv_1,6,4,56,56,56,4.423239552409086e-12,9.23205956127049e-13,1.741162769519633e-12,96.42857142857143,2.495451068007526e-11,OK
results_cv_1_l0_6_l2_5.csv,cv_1,6,5,60,60,60,3.733791054116864e-12,1.1171064073778325e-12,1.0776934900036395e-12,100.0,1.975299090961613e-11,OK
results_cv_1_l0_6_l2_6.csv,cv_1,6,6,60,60,60,1.353239742485357e-11,1.5885903703605209e-12,7.794653811288299e-12,100.0,1.2129258708526436e-10,OK
results_cv_1_l0_6_l2_7.csv,cv_1,6,7,60,60,60,3.2109870318208777e-12,1.2463086118685851e-12,1.0332845690186332e-12,100.0,2.197053650121461e-11,OK
results_cv_1_l0_6_l2_8.csv,cv_1,6,8,62,62,62,3.4031666373834923e-12,1.2720935416155044e-12,1.1088907569956064e-12,96.7741935483871,2.271416388310854e-11,OK
