row,K,python,r,abs_diff
test_SR,40,0.6188271012360654,0.618827101239594,3.5285108168636725e-12
test_SR,41,0.6189524976457687,0.618952497648322,2.5534019343353975e-12
test_SR,42,0.6254439832335007,0.625443983236446,2.9453106620280778e-12
test_SR,43,0.6169421095583628,0.61694210955801,3.5282887722587475e-13
test_SR,44,0.6292911109611597,0.629291110962658,1.4982459717316488e-12
test_SR,45,0.6329022308271166,0.632902230828539,1.4224177391497506e-12
test_SR,46,0.6283023541204279,0.628302354122885,2.4571455981003965e-12
test_SR,47,0.6217666631653014,0.621766663167906,2.6045832157706172e-12
test_SR,48,0.6244258121346835,0.624425812134106,5.775380174100064e-13
test_SR,49,0.618019308206923,0.618019308208191,1.2679857164243913e-12
test_SR,50,0.6175307659777232,0.617530765977717,6.106226635438361e-15
